Date,AXP,BAC,JPM,CSCO,HPQ,IBM,INTC
6/24/2013,74.53,12.86,52.41,24.17,24.8,190.16,24
6/17/2013,73.09,12.69,51.58,24.31,24.15,194.49,23.97
6/10/2013,72.75,13.07,52.75,23.92,24.74,201.19,24.68
6/3/2013,77.8,13.38,53.88,24.32,24.66,205.32,24.35
5/28/2013,75.48,13.65,54.19,23.95,24.28,206.99,24.04
5/20/2013,75.04,13.23,53.27,23.37,24.07,204.7,23.69
5/13/2013,73.1,13.42,51.92,24.07,21.15,207.4,23.81
5/6/2013,69.87,13.01,48.61,20.95,21.41,203.45,24.26
4/29/2013,70.02,12.23,47.23,20.68,20.51,202.54,23.73
4/22/2013,67.54,12.41,48.53,20.53,19.85,192.44,22.96
4/15/2013,67.04,11.65,46.89,20.32,19.45,188.17,22.02
4/8/2013,65.48,12.16,48.66,21.39,20.78,209.35,21.27
4/1/2013,65.1,11.96,47.56,20.47,21.84,207.4,20.54
3/25/2013,67.06,12.17,46.82,20.59,23.7,211.25,21.43
3/18/2013,65.82,12.55,48.13,20.44,22.91,210.04,20.93
3/11/2013,65.69,12.56,49.35,21.6,22.05,212.85,20.98
3/4/2013,64.31,12.06,49.53,21.5,20.75,208.36,21.17
2/25/2013,62,11.33,48.25,20.52,19.91,200.96,20.63
2/19/2013,62.2,11.42,48.25,20.59,18.97,199.16,20.03
2/11/2013,61.32,12.01,48.22,20.68,16.59,199.05,20.72
2/4/2013,61.43,11.74,47.98,20.84,16.67,199.74,20.6
1/28/2013,59.55,11.69,47.21,20.52,16.26,202.36,20.73
1/22/2013,59.14,11.6,46.53,20.83,16.78,202.15,20.34
1/14/2013,59.42,11.12,45.84,20.71,16.9,191.79,20.63
1/7/2013,60.87,11.61,45.52,20.17,15.96,191.77,21.35
12/31/2012,59.25,12.09,44.75,20.17,14.96,191.32,20.54
12/24/2012,56.13,11.34,42.37,19.16,13.51,187.22,19.64
12/17/2012,57.11,11.27,43.11,19.66,14.17,190.76,20.16
12/10/2012,56.11,10.56,41.95,19.56,14.57,189.12,19.93
12/3/2012,56.08,10.62,41.7,19.05,13.64,189.31,19.57
11/26/2012,55.37,9.83,40.25,18.63,12.71,187.45,19
11/19/2012,55.98,9.87,40.26,18.42,12.17,190.83,19.14
11/12/2012,53.79,9.1,38.73,17.59,12.57,184.37,19.6
11/5/2012,55.3,9.4,39.8,16.45,13.32,187.03,20.19
10/31/2012,56.17,9.82,41.57,16.97,13.46,189.94,21.19
10/22/2012,55.22,9.1,40.33,16.91,13.79,189.78,21.09
10/15/2012,56.32,9.41,41.47,17.64,14.17,189.87,20.43
10/8/2012,57.34,9.1,40.78,18,14.1,204.05,20.64
10/1/2012,58.01,9.3,40.87,18.44,14.41,206.79,21.79
9/24/2012,56.13,8.81,39.37,18.54,16.69,203.7,21.77
9/17/2012,57.11,9.09,39.76,18.34,17.21,202.26,22.22
9/10/2012,58.5,9.52,40.43,18.92,17.78,203.07,22.45
9/4/2012,56.98,8.78,38.23,18.99,16.92,195.9,23.24
8/27/2012,57.55,7.96,36.13,18.52,16.39,191.33,23.86
8/20/2012,56.75,8.13,36.15,18.64,17.07,194.2,23.93
8/13/2012,56.85,7.97,35.97,18.5,18.96,197.58,25.3
8/6/2012,55.13,7.71,35.96,17.02,19.13,195.69,25.82
7/30/2012,56.87,7.4,35.1,15.87,17.73,194.11,25.2
7/23/2012,57.77,7.28,35.88,15.23,18.03,192.02,24.78
7/16/2012,55.09,7.04,32.97,15.88,18.07,188.17,24.31
7/9/2012,57.18,7.79,35.08,15.83,18.43,181.87,24.05
7/2/2012,57.87,7.63,32.97,16.28,19.01,187.15,24.91
6/25/2012,57.26,8.15,34.47,16.59,19.53,191.23,25.38
6/18/2012,55.87,7.91,34.72,16.55,19.78,189.39,25.66
6/11/2012,55.37,7.87,33.79,16.52,21.02,194.67,26.04
6/4/2012,54.95,7.53,32.49,16.16,21.54,190.8,25.15
5/29/2012,52.56,6.99,30.8,15.42,20.51,184.87,23.94
5/21/2012,54.9,7.11,32.32,15.78,21.56,189.98,24.51
5/14/2012,54.5,6.98,32.31,15.91,20.72,191.52,24.83
5/7/2012,58.67,7.51,35.65,15.95,22.35,196.7,26.31
4/30/2012,59.12,7.7,40.27,18.47,23.43,199.59,26.57
4/23/2012,59.19,8.21,41.81,19.3,23.89,201.37,26.83
4/16/2012,56.52,8.32,41.21,19.24,23.66,194.35,26.1
4/9/2012,56.35,8.63,41.68,19.18,23.72,197.46,26.56
4/2/2012,57.16,9.18,42.77,19.53,22.31,200.06,26.54
3/26/2012,56.72,9.52,44.07,20.36,23.01,203.16,26.59
3/19/2012,56.13,9.8,43.28,19.76,22.81,200.07,26.36
3/12/2012,55.44,9.75,42.71,19.28,23.64,200.59,26.22
3/5/2012,52.15,8.01,39.32,19.06,23.23,195.34,25.6
2/27/2012,51.95,8.09,38.94,19.02,24.32,193.58,25.45
2/21/2012,52.28,7.83,36.69,19.38,25.59,192.56,25.25
2/13/2012,51.82,7.97,36.87,19.53,28.42,188.33,25.88
2/6/2012,50.79,8.02,36.04,19.15,27.57,187.36,25.25
1/30/2012,51.22,7.79,36.69,19.34,27.92,187.81,25.28
1/23/2012,48.87,7.24,35.66,18.83,26.78,184.73,25.07
1/17/2012,49.06,7.02,35.8,19.17,27.02,182.85,24.75
1/9/2012,48.78,6.57,34.42,18.34,25.45,173.77,23.58
1/3/2012,47.32,6.14,33.89,18.14,25.36,177.05,23.69
12/27/2011,46.07,5.52,31.64,17.34,24.75,178.35,22.75
12/19/2011,46.83,5.56,31.94,17.72,24.86,179.19,22.89
12/12/2011,45.79,5.17,30.34,17.21,24.82,178.05,21.79
12/5/2011,47.66,5.68,31.57,18.11,26.69,188.7,23.46
11/28/2011,47.11,5.6,30.76,17.79,26.48,183.95,23.11
11/21/2011,43.95,5.13,27.1,16.79,24.28,171.73,21.32
11/14/2011,45.79,5.73,29.14,17.67,26.77,179.67,22.79
11/7/2011,49.2,6.16,31.67,18.25,26.38,181.74,23.31
10/31/2011,49.99,6.44,32.32,17.3,25.8,180.05,22.27
10/24/2011,50.89,7.29,34.91,17.8,26.72,181.08,23.23
10/17/2011,47.33,6.41,31.8,16.67,24.28,175.46,22.34
10/10/2011,45.03,6.14,30.34,16.84,24.97,184.06,21.85
10/3/2011,42.42,5.85,29.21,15.98,23.8,176.19,20.72
9/26/2011,43.67,6.07,28.41,14.81,21.47,168.93,19.84
9/19/2011,45.18,6.26,27.91,14.91,21.35,163.59,20.6
9/12/2011,48.75,7.17,31.53,15.88,22.51,167.11,20.43
9/6/2011,45.99,6.92,30.26,15.12,21.55,155.89,18.32
8/29/2011,47.18,7.19,32.66,14.72,23.16,161.31,18.26
8/22/2011,47.15,7.69,34.15,14.64,23.61,163.39,18.38
8/15/2011,43.25,6.9,32.4,14.41,22.45,152.19,17.84
8/8/2011,43.66,7.12,33.87,15.28,30.75,162.48,19.2
8/1/2011,45.92,8.09,35.46,14.27,31.04,166.38,19.33
7/25/2011,48.67,9.62,38.15,15.26,33.46,174.91,20.56
7/18/2011,50.81,10.03,39.79,15.73,34.92,178.11,21.3
7/11/2011,50.39,9.9,37.71,14.9,33.38,168.84,20.6
7/5/2011,51.62,10.6,38.43,15.04,34.66,169.75,21.26
7/1/2011,50.91,10.98,39.22,15.1,35.25,167.88,20.75
